id,date_time,city,state_id,shape,duration,summary,date_posted
1631,12/1/20 19:30,Trexlertown,PA,Light,2 seconds,Saw a massive bright green beam of light shoot out of the ground into the sky,12/23/20
1632,12/1/20 17:58,Granite City,IL,Light,8 seconds,"2 White lights moving in unison in Granite City, IL",12/23/20
1633,12/1/20 17:50,Birmingham,AL,Light,10 seconds,Bright light moving sporadically up and down and across the sky,12/23/20
1634,12/1/20 17:00,Wilmington,DE,Cylinder,30 sec,Driving on Old Coach Road towards Polly Drummond Road at 5pm when noticed a skinny object with a  red and white light at either end fly,1/19/21
1635,12/1/20 14:45,Weidman,MI,Light,4-5 minutes,Extremely bright mirror like light that left vapor trail then disappeared in clear sky,12/23/20
1636,12/1/20 12:00,Millstone,NJ,Circle,5 mins,It flew across highway dropped to the ground and sky rocketed,12/23/20
1637,12/1/20 09:00,Barnegat Township,NJ,Unknown,30 min,Witnessed object being chased by fighter jets 30 passes so far,12/23/20
1638,12/1/20 06:00,Hyde Park,VT,Diamond,30 sec,I saw a very bright light in the sky and then it disappeared.,12/23/20
1639,12/1/20 05:09,Jonesboro,AR,,,MADAR Node 143,12/23/20
1640,11/30/20 22:05,Salt Lake City,UT,Changing,30 minutes,"Last night I saw an orange star in the sky above downtown slc.  Then I noticed it had lightning type spider legs come out,and almost sh",12/23/20
1641,11/30/20 20:27,Farmington Hills,MI,,,MADAR Node 144,12/23/20
1642,11/30/20 19:00,Coast of Fort Lauderdale,FL,Disk,1 minute,Sun Colored Flying Saucer Seen Just Off Coast of Fort Lauderdale,12/23/20
1643,11/30/20 18:30,Creswell,OR,Other,15 sec,"Two mega brilliant white lights in sky to the south, too big for aircraft. Not landing lights, or anything I’ve seen for 61 years. They",12/23/20
1644,11/30/20 18:20,Lahaina,AK,Circle,5-10 seconds,Circular pattern of lights.,12/23/20
1645,11/30/20 15:00,Norwalk,CA,Sphere,1 hour,Moving shiney Blinking object in the sky.,12/23/20
1646,11/30/20 12:55,SAN ANTONIO,TX,Other,2 minutes,"Watching for chemtrails clear skies, behold a fleet of bright craft.",12/23/20
1647,11/30/20 12:00,Unknown,WY,Other,2 minutes,"Seen from plane, amazing shadow of craft in clear sky that is stationary and changes shape over 2 minutes",12/23/20
1648,11/30/20 08:30,Pigeon Forge,TN,Triangle,5 minutes,pigeon Forge light spotting and Sky UFO,12/23/20
1649,11/30/20 00:40,Huntsville,AL,Light,5-10 seconds,"Saw a teal light , thought it was lightening at first but the teal color was solid and stayed there for a few seconds and blinked a few",12/23/20
1650,11/30/20 00:01,Lacey,WA,,,MADAR Node 50,12/23/20
1651,11/29/20 21:51,Providence,RI,Circle,2 minutes,November 29th 2020 9:50pm  I changed our names in my report for privacies sake  	I was laying in bed after walking my girlfriend to her,12/23/20
1652,11/29/20 21:09,miami,FL,Fireball,2 minutes,"I'm used to watch the sky specially at the high of my building, yet never seen a flying fireball with a perfect gps coordinates.",12/23/20
1653,11/29/20 20:30,Windsor,ON,Unknown,5 minutes or less,Unknown fast moving / rapidly stopping light in night sky,12/23/20
1654,11/29/20 19:14,Hanover,MD,,,MADAR Node 77,12/23/20
1655,11/29/20 17:40,Delray Beach,FL,Oval,20 minutes,Round/oval/disc shaped black craft in the eastern sky up and left of the moon,12/23/20
1656,11/29/20 15:45,North Port,FL,,,MADAR Node 147,12/23/20
1657,11/29/20 13:00,Bensalem,PA,Other,30 seconds,"Tic-tac appears approx 200 feet above in Neshaminy State Park, noticed because light reflects off of it into my eyes. I tell my girlfri",12/23/20
1658,11/29/20 02:00,Cambridge,OH,Rectangle,30 minutes,A stationary object was seen apparently hovering with red flashing lights and white stationary lights it did no move for a half hour,12/23/20
1659,11/29/20 01:05,Astoria,OR,Circle,:03 seconds,"Round, white object traveled at rapid pace from South to North at 1:05am and looked to maybe fall in the Columbia River. Not like a typ",12/23/20
1660,11/29/20 01:00,Brooksville,FL,Circle,15 seconds,1am exactly. Approximately 60ft from the ground. extremely bright white round shape approximately 20ft in diameter. Caught my attention,12/23/20
1661,11/28/20 23:35,lenexa,KS,Changing,1.5 hours,Rainbow like flashing object that was stationary in the sky,12/23/20
1662,11/28/20 21:30,Malverne,NY,Fireball,5 minutes,Bright orange object with no sound moving across sky then disappeared,12/23/20
